nm2,WB417n6RZ_C_2nd_EQE,nm1,WB417n6TZ_C_1st_EQE
350,0.003336949391082894,350,0.2691939363818299
355,0.003416387658016761,355,0.271685277085785
360,0.002421180048418679,360,0.3004405001600247
365,0.001465328085297541,365,0.3516736182780977
370,0.002785249692446989,370,0.3805922384598163
375,0.002906163714126991,375,0.4183582728300133
380,0.003117103294824952,380,0.4671731470004085
385,0.003436360817905407,385,0.4786687531936361
390,0.003064708596309879,390,0.5055997858663863
395,0.00303347982143981,395,0.5170265090884225
400,0.003019048091593497,400,0.5365922232781798
405,0.003568456081961458,405,0.5808615271420176
410,0.003292074311244363,410,0.6066205907401973
415,0.003461540682709459,415,0.5965747997038374
420,0.003205404770195663,420,0.6164634331460266
425,0.003110037157211447,425,0.6450981675282237
430,0.003054391541566278,430,0.64890650570638
435,0.002720012926899891,435,0.6538749099548272
440,0.002968593604666869,440,0.6678109826713028
445,0.002970962477043845,445,0.6842347433488154
450,0.002845767130239722,450,0.6904306707210058
455,0.00287310144145375,455,0.6937949355623202
460,0.002724723683257228,460,0.7156816911165897
465,0.002781591916871703,465,0.7162046608995848
470,0.002717188121677015,470,0.7244586983469777
475,0.002679614606826828,475,0.7246156604422702
480,0.002802701153490825,480,0.7348320139945184
485,0.002524781321630104,485,0.7554526501821538
490,0.002567870533480128,490,0.7716574970376281
495,0.002627047901480585,495,0.7755588807783352
500,0.002808138801679641,500,0.7966231554042446
505,0.002870322118717734,505,0.8011892655214592
510,0.002793313498263676,510,0.8175351629296359
515,0.00323977910978264,515,0.8150975375955686
520,0.003306692166628587,520,0.8173789397852192
525,0.003840044587037047,525,0.8236481833377646
530,0.004292391729939095,530,0.8287202044145926
535,0.004979188779513685,535,0.8340061765159864
540,0.005919801315157873,540,0.8354967575828497
545,0.007055577061318779,545,0.8318380163375312
550,0.008891254641562971,550,0.828984380974895
555,0.009427386925082623,555,0.8567877386854962
560,0.01126761738173936,560,0.8517834067439078
565,0.01415614510634102,565,0.8648489277427625
570,0.01661968310854149,570,0.8604435563311378
575,0.01884556805080514,575,0.8556477619462486
580,0.02146937976905786,580,0.861265665955353
585,0.02429248177587106,585,0.8566765360077871
590,0.0280690824017852,590,0.8590390734482022
595,0.03219577592814699,595,0.8440665954968478
600,0.03725441867898567,600,0.8556981077250763
605,0.04259061059508276,605,0.8544796979222189
610,0.04892929192341747,610,0.8350167251180397
615,0.05893365076334907,615,0.831686031296869
620,0.0741508916573234,620,0.8452008263327653
625,0.09040461255923793,625,0.8151785042532871
630,0.1117422123449441,630,0.798827383124881
635,0.1368546299835126,635,0.7744779633594594
640,0.1665377936148668,640,0.7574439001378683
645,0.1994607481458072,645,0.7346629276387648
650,0.2670918790171488,650,0.6466735305946362
655,0.3613472283320228,655,0.5506363439909676
660,0.4800563619511936,660,0.4081239383396977
665,0.6044466705067778,665,0.2523480021100329
670,0.7360576314121881,670,0.1184633699779551
675,0.8062255655864223,675,0.04485458007487234
680,0.8326236175598736,680,0.01724914883839854
685,0.8385612237079363,685,0.004618107928028538
690,0.8419386437885616,690,0.001451481467002767
695,0.8344793101913675,695,0.0005299654377789122
700,0.8373360400038602,700,0.0004622727631474898
705,0.8342221131278492,705,0.0002276371951921132
710,0.8466389887259448,710,0.0002258635390102663
715,0.8479503562196737,715,0.0002203233610389694
720,0.8575940819541003,720,0
725,0.8749282290970809,725,0
730,0.8755793759918489,730,0
735,0.8649305241830415,735,0
740,0.8615854134340919,740,0
745,0.8481167498934836,745,0
750,0.8419239871523049,750,0
755,0.8337605812296442,755,0
760,0.8382972926412201,760,0
765,0.8442333238638609,765,0
770,0.8518906185234919,770,0
775,0.8636624270878319,775,0
780,0.8663446756408543,780,0.000103750422295369
785,0.8630947785927554,785,0.0001051808082986645
790,0.8611399367972488,790,0.0001070836238465821
795,0.8568757910748738,795,0.0001077099623028768
800,0.8395816593772052,800,0.0001085397792858518
805,0.8239627942909893,805,0
810,0.8235398778816008,810,0.0001093554752297879
815,0.8242483741670864,815,0
820,0.8333959418088226,820,0
825,0.8238708352680273,825,0
830,0.8198091501670923,830,0
835,0.8305782012557554,835,0.0001040025077176991
840,0.824747290681705,840,0
845,0.8044456204730086,845,0
850,0.7741139482277867,850,9.939818486992858e-05
855,0.750461765442814,855,0
860,0.733679920349552,860,0
865,0.6598584171223989,865,9.168999287978689e-05
870,0.5293392703651133,870,0
875,0.360151100879361,875,0
880,0.2225100924660499,880,0.003448559676271759
885,0.1126543639502166,885,0
890,0.03686102131159628,890,0
895,0.01264364464308019,895,0
900,0.006653921288002611,900,0
905,0.004270231335613632,905,9.707122629267533e-05
910,0.002524382319783161,910,0
915,0.001636690638321559,915,9.057739390727667e-05
920,0.001407926970817139,920,8.739105448195094e-05
925,0.00136915099361736,925,0
930,0.001336637337356132,930,0
935,0.0009751390813602374,935,8.06528343134759e-05
940,0.0007240274801627933,940,7.967301336625379e-05
945,0.000549443291610962,945,7.777784916264807e-05
950,0.0006081202741365177,950,0
955,0.0007292850607267366,955,0
960,0.0006318871646606233,960,0
965,0.0004108477017481331,965,0
970,0.0002673547349364411,970,6.677139519511532e-05
975,0.0001286530785133007,975,6.408502526373394e-05
980,0.0001874420054459045,980,6.244421410828946e-05
985,0.000124729870422275,985,0
990,0.0001219603155674738,990,0
995,0.0001197253627004175,995,0
1000,0.0001190150090901801,1000,5.911109425002766e-05
