Wavelength (nm),Solar cell front (Film 2a.4 - 100 nm of Perovskite CsFAPbIBr 1.62 eV [Wer18])
300,0.0008393625629343
310,0.0050327696714301
320,0.015999101321459
330,0.0359025116708417
340,0.0637901390535012
350,0.1055317248375277
360,0.1711846800599812
370,0.2521325343528157
380,0.3278668307457285
390,0.3968207693653789
400,0.4501818772826716
410,0.4945376693220801
420,0.5307021583747208
430,0.5637595793836957
440,0.591315301790814
450,0.6211023368427481
460,0.6463374582198534
470,0.6701787783875903
480,0.6946641752157857
490,0.7184951123813933
500,0.7458110001017181
510,0.7772153669913682
520,0.8054717031314587
530,0.8329132483620693
540,0.8551471803186955
550,0.872518966367842
560,0.8883327675243975
570,0.8993133161419348
580,0.900630317751488
590,0.902101043962918
600,0.8991692270091868
610,0.8951155866618251
620,0.8909955756868945
630,0.8864801793350787
640,0.8796738839819281
650,0.875953606750792
660,0.8704316393345201
670,0.8664640771434405
680,0.8571427841918203
690,0.8486532595508723
700,0.8239335312307554
710,0.7960722218607504
720,0.7366150387355738
730,0.6586265770994852
740,0.5463700240770434
750,0.3933624667357677
760,0.2764275972164771
770,0.1499318014444741
780,0.0617277353212654
790,0.0310505116377596
800,-4.713924441205134e-16
810,4.5845769535136606e-17
820,3.592863010516602e-16
830,5.240098214416852e-16
840,2.0937246214755656e-16
850,4.974625027508257e-17
860,2.640016778541404e-16
870,-1.432338425924353e-16
880,1.0016085787438548e-16
890,1.6213514693207023e-16
900,-2.72388152951931e-16
910,-1.7446886667437488e-16
920,2.2586997882616587e-16
930,-3.304146288540512e-17
940,-4.868622619514783e-17
950,2.8700394531704183e-16
960,-4.687811447286664e-17
970,-3.192747270617498e-16
980,2.37761273096341e-16
990,-5.951268849414931e-16
1000,-2.7130904860430177e-16
1010,-3.4390683248693344e-16
1020,2.868964401692752e-16
1030,-4.269071380499772e-16
1040,-2.6858179571990886e-17
1050,4.958824898245108e-16
1060,-2.426872902863288e-16
1070,4.0689617465241133e-16
1080,1.2845758830482943e-16
1090,1.6667304633120522e-16
1100,-5.1706090142063577e-17
1110,-2.367846775878553e-16
1120,9.620095764135479e-17
1130,-1.4064235313184452e-18
1140,-2.860234778518617e-16
1150,-1.5481932174145782e-16
1160,-1.00092110105508e-16
1170,1.2850997002862692e-16
1180,2.0017334614100407e-16
1190,-8.272343011567929e-19
1200,3.643867919755115e-16
1210,2.8958368488185544e-17
1220,-1.6327846892449312e-16
1230,-1.1159476023334674e-16
1240,1.7857915649016475e-16
1250,2.686317252938137e-16
1260,1.3470076790803654e-16
1270,2.6351586705748497e-16
1280,-1.5041618040933547e-16
1290,8.002941994141603e-17
1300,-1.0807042440386744e-16
